Lat,Long
12.76320273,37.44667012
13.44480925,36.34119237
11.50669164,39.3559759
12.35826804,37.12571653
10.27028406,37.3064118
10.27385326,37.31711938
11.80504847,39.63653108
13.09411635,37.68553827
10.23623398,37.89158551
9.8,39.6833
11.60389217,37.03016932
11.41814414,38.90829506
10.58481303,37.10440511
10.21164648,39.45262381
10.6600465,39.16290048
11.67797069,38.29169807
10.90926642,37.15622581
12.82562392,37.74100945
11.73372146,37.77533124
12.35898188,37.34486488
10.77058436,39.31635985
13.01987717,37.64794278
10.77983005,37.04717056
11.2699321,39.37802953
11.60228865,39.76953304
11.49971189,39.87529326
10.7808926,38.31445539
10.24551388,38.21352658
11.305,39.673483
10.46838389,38.67083984
11.36987263,39.59035281
11.7310573,39.00577166
11.78026,37.566766
11.7833,37.5667
12.4153751,37.08288623
11.70163536,38.70930091
11.80990084,38.67658332
10.92085,39.775767
11.78761891,39.79292116
11.80570282,39.80101133
11.20021389,38.91867855
9.997019094,38.88095037
11.25375176,39.51270703
11.92169888,38.52655087
10.57819501,39.83386489
10.857917,39.17335
11.25772071,39.68279487
10.87387004,37.80757071
10.55899108,39.93848298
11.73802086,38.0471266
11.85318677,38.10518545
12.15111148,39.23622246
11.60415863,36.60321073
11.68981922,36.641758
10.13629661,37.89658238
10.55566464,36.82130676
13.09863733,38.36796768
13.01131111,37.8973103
12.36897561,37.2948962
12.81793033,37.45380851
12.92850587,36.84939567
11.4,37.8833
10.50117017,39.94455061
11.96026252,38.09233636
11.36289288,39.64948241
11.73911187,39.16639537
12.26517674,39.41434891
10.45752385,38.08860488
11.20682879,39.9013206
12.27112539,39.6285004
10.09897156,39.9675906
9.963674914,39.83766343
10.670417,37.371117
10.018833,39.240317
10.64678808,37.33432053
13.01987717,37.42998415
10.6736692,39.94162387
10.7270313,38.65480228
12.68785313,37.74886167
11.26905793,39.94843706
10.7200342,36.62743364
11.35502906,36.641758
10.822617,39.475
11.12157588,39.29565656
11.9148011,39.53689116
11.21492519,39.9716368
11.80988058,38.06521051
10.422887,39.933823
10.36404352,39.90191748
12.94944512,37.81117381
12.29136552,36.94450471
11.89611967,37.59211274
11.18128647,38.28019481
11.28062897,38.51635631
11.42627181,38.15345282
11.4477861,38.52349469
11.46027827,38.36645027
11.11082378,40.04123604
11.22649623,38.23795937
11.23482434,38.40928057
11.27289572,38.31648159
11.43231961,38.22844153
11.43945799,38.47828494
11.4495707,38.20524179
11.46548533,38.28998034
11.48466775,38.23379532
11.49359073,38.39381407
11.50191884,38.27722048
11.96131572,36.47376805
12.83649013,37.37100326
11.71242795,39.81433631
10.30206599,39.13872531
10.26531919,39.70128542
10.58525,39.0135
12.34640048,38.01321979
10.08030023,39.35982483
10.76325591,39.85881863
10.71895,39.857233
13.08317083,37.61225087
10.9666,37.9666
11.86947237,39.7662712
10.895735,36.972887
12.48075502,38.92197764
11.86847117,39.12058066
12.8458196,37.13321183
11.83770657,39.48359123
10.81448542,38.92474023
10.49595215,38.28110328
11.93779687,38.80566908
